Wall time,Step,Value
1621835622,145878,10.55649471
1621835623,146216,23.87765884
1621835624,146365,12.49337673
1621835625,146680,14.02834225
1621835625,146685,24.01043701
1621835626,147030,9.128388405
1621835626,147062,10.02129555
1621835627,147572,10.60643673
1621835628,147694,10.4319725
1621835628,147973,9.768847466
1621835631,148946,28.09123993
1621835632,149265,7.833180428
1621835632,149410,9.303617477
1621835632,149456,8.698917389
1621835634,149982,5.299107075
1621835634,150022,7.511149406
1621835634,150052,9.99349308
1621835634,150062,6.781295776
1621835634,150138,13.15737247
1621835634,150172,9.03208828
1621835636,150757,15.22718811
1621835636,150996,15.45999718
1621835637,151229,14.46867943
1621835639,151860,19.86396217
1621835639,151896,16.38618469
1621835640,152203,9.080773354
1621835640,152204,15.76438141
1621835641,152758,13.14348984
1621835642,152899,7.84761858
1621835642,153193,5.519105434
1621835643,153349,5.472753048
1621835644,153799,9.697592735
1621835644,153925,28.25285339
1621835645,154233,19.66515541
1621835645,154292,4.685669899
1621835646,154411,7.834898949
1621835649,155718,8.975806236
1621835650,155798,15.34636784
1621835651,156319,19.67907143
1621835652,156703,3.675917149
1621835654,157498,9.877209663
1621835656,158196,6.755205631
1621835656,158295,3.408293962
1621835657,158431,3.557322502
1621835657,158553,3.845942259
1621835657,158611,6.091115952
1621835657,158680,10.376194
1621835657,158684,10.18951321
1621835659,159449,3.118289232
1621835660,159690,4.413956165
1621835660,159893,3.971601486
1621835661,160013,2.099285841
1621835663,160765,2.314626217
1621835663,160870,3.485713959
1621835664,161049,2.141060352
1621835664,161063,2.21944499
1621835664,161099,3.256602526
1621835664,161140,2.034456968
1621835664,161234,3.245341063
1621835664,161283,1.982527971
1621835665,161550,2.258462429
1621835668,162530,1.701131344
1621835668,162773,1.86201036
1621835670,163563,1.561809778
1621835670,163630,2.702987432
1621835671,163691,1.924092531
1621835673,164671,1.847441673
1621835675,165196,1.474000454
1621835676,165591,2.354161263
1621835676,165727,1.608649492
1621835676,165742,1.630642891
1621835679,166659,1.324321747
1621835680,167053,1.4866364
1621835680,167072,1.005579233
1621835680,167138,0.77506274
1621835681,167299,1.301322937
1621835681,167390,1.063500404
1621835681,167438,0.956631303
1621835681,167631,1.047695994
1621835682,167935,0.859270036
1621835686,169151,1.440954328
1621835686,169416,0.890407562
1621835687,169530,0.984705806
1621835688,169787,0.786564827
1621835690,170210,1.021488786
1621835690,170260,1.601543069
1621835690,170432,0.574739575
1621835690,170469,0.993957698
1621835691,170716,0.795407414
1621835693,171167,0.498646975
1621835693,171195,2.41162467
1621835693,171372,0.841824234
1621835695,171958,0.753964484
1621835696,172150,0.707277656
1621835696,172214,0.706766725
1621835697,172591,0.903434157
1621835698,172797,0.358884037
1621835700,173304,0.773029566
1621835705,174630,0.367344797
1621835707,175471,2.056634665
1621835708,175605,0.243898362
1621835708,175808,0.310224891
1621835710,176306,0.612773895
1621835710,176329,2.765192986
1621835710,176521,0.48014918
1621835711,176878,0.445164144
1621835712,176955,0.288467169
1621835712,177242,0.215156406
1621835713,177404,0.16553776
1621835714,177652,0.225902304
1621835715,178045,0.269966006
1621835715,178188,0.125628695
1621835716,178397,1.072454572
1621835717,178728,0.366409302
1621835717,178885,0.507599056
1621835718,179331,0.224603653
1621835719,179562,0.496618629
1621835720,179881,0.656344473
1621835720,179971,0.156304568
1621835721,180196,1.55009234
1621835722,180503,0.517222106
1621835724,181220,0.930159807
1621835725,181628,0.557320774
1621835725,181667,0.204193637
1621835725,181677,0.291622251
1621835727,182239,0.83629179
1621835727,182424,0.181998879
1621835729,182980,1.817676544
1621835729,183101,0.08276847
1621835730,183182,1.069806695
1621835730,183303,0.778785348
1621835731,183564,1.417251229
1621835731,183753,0.101558372
1621835733,184422,0.373066127
1621835734,184655,0.783125758
1621835736,185178,0.134554923
1621835736,185281,0.327265203
1621835739,186089,0.70674926
1621835739,186291,0.357486993
1621835740,186591,0.074878283
1621835742,187093,0.199564397
1621835745,187693,0.564314723
1621835745,187785,0.158647642
1621835747,188201,0.499404609
1621835749,188670,0.286796778
1621835749,188710,0.036005344
1621835751,189205,0.188498452
1621835754,189975,0.16792731
1621835755,190324,0.362686038
1621835758,191058,0.088038862
1621835758,191062,0.067120112
1621835758,191117,0.255748719
1621835759,191472,0.690986037
1621835760,191645,0.110676721
1621835762,192096,1.430780649
1621835764,192511,0.306671917
1621835766,192844,0.179678768
1621835766,192898,1.2649014
1621835766,192953,0.06659697
1621835766,192958,0.473537266
1621835767,193233,0.336901367
1621835767,193280,0.20941776
1621835767,193282,1.081334591
1621835768,193495,0.123546973
1621835768,193607,0.72150445
1621835770,194158,0.158471644
1621835772,194754,0.864216208
1621835773,195067,0.072240487
1621835774,195624,0.169600978
1621835776,196014,0.234885976
1621835776,196241,0.04063049
1621835776,196254,0.032139212
1621835778,196697,2.068524599
1621835778,196725,0.448774219
1621835778,196934,0.180404335
1621835779,197099,0.236203134
1621835779,197149,0.185004964
1621835780,197609,0.969702482
1621835780,197683,0.176590577
1621835781,197952,0.550677896
1621835781,197998,0.701780975
1621835785,199240,0.263241231
1621835785,199261,0.311314553
1621835785,199268,0.358718455
1621835785,199331,2.145830154
1621835786,199733,0.415000468
1621835787,199942,0.093232602
1621835788,200347,0.744962096
1621835788,200451,0.392204642
1621835793,202224,0.554649532
1621835796,203342,0.319526315
1621835797,203741,1.017745137
1621835800,204630,0.15156132
1621835802,205306,0.243323326
1621835802,205409,0.266686589
1621835802,205628,1.349431753
1621835805,206505,0.102207199
1621835806,206735,2.527440548
1621835806,206785,0.186542079
1621835807,207137,0.292068303
1621835810,208210,0.210911438
1621835810,208419,0.638159037
1621835812,208860,0.246970206
1621835812,208864,0.591171384
1621835813,209269,0.188450634
1621835813,209297,0.418165445
1621835814,209672,0.480645329
1621835814,209675,0.328672171
1621835816,210221,0.446424514
1621835816,210276,0.088935435
1621835819,211411,0.321047276
1621835820,211795,0.120086037
1621835821,211930,0.449104309
1621835822,212353,0.092215277
1621835822,212472,0.281377524
1621835823,212723,0.840999722
1621835824,212979,0.393805504
1621835824,213241,0.849927425
1621835827,214140,1.328737378
1621835829,214763,0.563694477
1621835829,214922,11.9186306
1621835831,215442,0.588410616
1621835833,216120,0.835042298
1621835836,217060,0.360584646
1621835838,217619,1.656421661
1621835839,217821,2.677482367
1621835840,218345,5.095308304
1621835841,218433,20.40241051
1621835841,218446,0.277142048
1621835842,218758,2.616288424
1621835842,218944,0.236763805
1621835844,219422,0.586320877
1621835846,219987,1.727805972
1621835846,219998,0.767921984
1621835846,220201,0.411693364
1621835847,220317,0.354015142
1621835850,221251,1.01086843
1621835851,221706,0.303915024
1621835855,223109,0.116603643
1621835856,223186,0.190658778
1621835858,223877,1.297481894
1621835858,224095,0.380518973
1621835858,224130,0.150520444
1621835860,224620,0.348084986
1621835860,224682,0.272543043
1621835860,224737,0.16205214
1621835862,225340,0.385995448
1621835864,225963,4.016517639
1621835864,226033,0.342062563
1621835864,226062,0.076998428
1621835868,227462,0.423267514
